ordinal,id,location,euro,surface,compartiment,link
0,XAR910003,iris,106900,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/iris/apartament-de-vanzare-3-camere-XAR910003?lista=141495822
1,X7NS1001S,iris,77900,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/iris/apartament-de-vanzare-3-camere-X7NS1001S?lista=141495822
