ordinal,id,location,euro,surface,compartiment,link
0,X01V1008S,zorilor,110000,85,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X01V1008S?lista=141495822
1,X4HK10056,zorilor,89500,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10056?lista=141495822
2,X4HK10019,zorilor,99422,81,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10019?lista=141495822
3,X4HK10039,zorilor,89500,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10039?lista=141495822
4,X5NQ10013,zorilor,98900,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X5NQ10013?lista=141495822
5,X93B1005K,zorilor,94627,72,semidecomandat,http://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X93B1005K?lista=141495822
