ordinal,id,location,euro,surface,compartiment,link
0,X1KA100EF,baciu,77000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA100EF?lista=141495822
1,X54N0001G,baciu,72500,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X54N0001G?lista=141495822
2,X90R1000R,baciu,90000,85,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X90R1000R?lista=141495822
3,X1KA100T0,baciu,72500,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA100T0?lista=141495822
4,X1KA101DB,baciu,85000,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA101DB?lista=141495822
