ordinal,id,location,euro,surface,compartiment,link
0,X7P110025,grigorescu,105000,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-X7P110025?lista=141495822
1,XARL1000L,grigorescu,97500,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-XARL1000L?lista=141495822
2,X1KA100E2,grigorescu,82900,80,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/grigorescu/apartament-de-vanzare-3-camere-X1KA100E2?lista=141495822
