ordinal,id,location,euro,surface,compartiment,link
117,X8SC1002E,borhanci,101874,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X8SC1002E?lista=141495822
118,X1KA101PN,central,105415,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/central/apartament-de-vanzare-3-camere-X1KA101PN?lista=141495822
119,X90R1006G,manastur,75800,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X90R1006G?lista=141495822
120,X6710002V,andrei muresanu,95900,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X6710002V?lista=141495822
121,X8SC10031,marasti,85560,71,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8SC10031?lista=141495822
122,X9LN1000V,manastur,96000,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9LN1000V?lista=141495822
123,X1KA1004U,marasti,107000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X1KA1004U?lista=141495822
124,X93B10011,buna ziua,109000,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X93B10011?lista=141495822
125,X9PI100BJ,manastur,105000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X9PI100BJ?lista=141495822
126,X8BO1000E,buna ziua,107000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X8BO1000E?lista=141495822
127,X8JT10021,marasti,108000,76,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X8JT10021?lista=141495822
128,XAMQ0000Q,marasti,94000,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XAMQ0000Q?lista=141495822
129,X671000C4,buna ziua,89000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X671000C4?lista=141495822
130,X1KA101DB,baciu,85000,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/baciu/apartament-de-vanzare-3-camere-X1KA101DB?lista=141495822
131,X4I7100BS,marasti,90007,74,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-X4I7100BS?lista=141495822
132,X1KA100A4,manastur,78000,85,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X1KA100A4?lista=141495822
133,X54N0005V,semicentral,106000,83,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X54N0005V?lista=141495822
134,X7P110039,manastur,89500,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X7P110039?lista=141495822
135,X8M21005Q,manastur,95000,74,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X8M21005Q?lista=141495822
136,X1KA100J1,gheorgheni,101500,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X1KA100J1?lista=141495822
137,X54N0001T,borhanci,101000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/borhanci/apartament-de-vanzare-3-camere-X54N0001T?lista=141495822
138,X4HK10019,zorilor,99422,81,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-X4HK10019?lista=141495822
