ordinal,id,location,euro,surface,compartiment,link
0,X46K103D8,semicentral,95000,70,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X46K103D8?lista=141495822
1,X54N0005V,semicentral,106000,83,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X54N0005V?lista=141495822
2,X46K103RM,semicentral,102000,73,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/semicentral/apartament-de-vanzare-3-camere-X46K103RM?lista=141495822
