id,rooms,surface,floor,maxfloor,compartiment,age,euro,location,link
X36D1009B,3,65,2,4,semidecomandat,-1,109000,gheorgheni,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/gheorgheni/apartament-de-vanzare-3-camere-X36D1009B?lista=141346768
X79E10024,3,62,4,4,semidecomandat,-1,79800,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-X79E10024?lista=141346768
X9PI10070,4,76,3,4,decomandat,-1,120000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-4-camere-X9PI10070?lista=141346768
X6MU1000L,3,67,2,10,decomandat,0,117000,intre lacuri,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/intre-lacuri/apartament-de-vanzare-3-camere-X6MU1000L?lista=141346768
XAVK00009,3,81,1,2,decomandat,0,89800,vest,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/vest/apartament-de-vanzare-3-camere-XAVK00009?lista=141346768
XARL10012,3,61,2,3,semidecomandat,-1,100000,zorilor,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/zorilor/apartament-de-vanzare-3-camere-XARL10012?lista=141346768
XARL1002F,4,80,2,4,decomandat,-1,113000,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-4-camere-XARL1002F?lista=141346768
XANP00011,3,77,4,6,decomandat,0,91207,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00011?lista=141346768
XANP00005,3,75,3,6,semidecomandat,0,86767,marasti,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/marasti/apartament-de-vanzare-3-camere-XANP00005?lista=141346768
X7F91002I,3,66,1,4,semidecomandat,0,93000,buna ziua,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/buna-ziua/apartament-de-vanzare-3-camere-X7F91002I?lista=141346768
XV0G00KPL,3,85,3,4,decomandat,0,78000,manastur,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/manastur/apartament-de-vanzare-3-camere-XV0G00KPL?lista=141346768
