ordinal,id,location,euro,surface,compartiment,link
0,XV0G00O3D,andrei muresanu,107640,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-XV0G00O3D?lista=141495822
1,X6710007P,andrei muresanu,99736,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X6710007P?lista=141495822
2,X6710002V,andrei muresanu,95900,77,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X6710002V?lista=141495822
3,X93B1004G,andrei muresanu,99900,71,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/andrei-muresanu/apartament-de-vanzare-3-camere-X93B1004G?lista=141495822
