ordinal,id,location,euro,surface,compartiment,link
0,X9PI1001C,dambul rotund,105000,78,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X9PI1001C?lista=141495822
1,X1KA1001D,dambul rotund,89990,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X1KA1001D?lista=141495822
2,X7F91002O,dambul rotund,87800,73,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X7F91002O?lista=141495822
3,X5ET1004B,dambul rotund,99900,72,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X5ET1004B?lista=141495822
4,X8MD1004Q,dambul rotund,81000,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8MD1004Q?lista=141495822
5,X01V1000T,dambul rotund,86000,79,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X01V1000T?lista=141495822
6,X8QD10012,dambul rotund,90000,75,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/dambul-rotund/apartament-de-vanzare-3-camere-X8QD10012?lista=141495822
