ordinal,id,location,euro,surface,compartiment,link
0,X8P71000A,europa,93500,70,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X8P71000A?lista=141495822
1,X93B1009M,europa,108088,76,semidecomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X93B1009M?lista=141495822
2,X8SC1002O,europa,109824,82,decomandat,https://www.imobiliare.ro/vanzare-apartamente/cluj-napoca/europa/apartament-de-vanzare-3-camere-X8SC1002O?lista=141495822
